xc,yc
-166.80862,66.033714
-166.79398,66.039856
-166.77934,66.04599
-166.75003,66.05826
-166.73537,66.06439
-166.7207,66.070526
-166.70604,66.07665
-166.69136,66.08279
-166.67668,66.08891
-166.662,66.09504
-166.64731,66.101166
-166.63261,66.107285
-166.6179,66.11341
-167.90495,65.55091
-167.89072,65.55716
-167.87648,65.5634
-167.86223,65.56965
-167.84798,65.57589
-167.83372,65.58213
-167.81946,65.58836
-167.80519,65.594604
-167.79092,65.60084
-167.77664,65.60707
-167.76236,65.613304
-167.74808,65.61954
-167.73378,65.62577
-167.71948,65.631996
-167.70517,65.63823
-167.69087,65.644455
-167.67656,65.65068
-167.66223,65.6569
-167.6479,65.663124
-167.63358,65.66934
-167.61925,65.67557
-167.6049,65.681786
-167.59056,65.687996
-167.5762,65.694214
-167.56186,65.700424
-167.54749,65.70664
-167.53313,65.71285
-167.51875,65.71906
-167.50438,65.72527
-167.48999,65.731476
-167.47562,65.73768
-167.46121,65.74389
-167.44682,65.75009
-167.43242,65.75629
-167.41801,65.76249
-167.4036,65.76869
-167.38918,65.77489
-167.37476,65.78108
-167.36032,65.78728
-167.3459,65.79347
-167.33145,65.79966
-167.31702,65.80585
-167.30257,65.81204
-167.2881,65.81823
-167.27365,65.82441
-167.25919,65.8306
-167.2447,65.83678
-167.23024,65.842964
-167.21576,65.849144
-167.20126,65.85532
-167.17229,65.867676
-166.96878,65.953995
-166.95421,65.96015
-166.93962,65.9663
-166.92503,65.97246
-166.91045,65.97861
-166.89584,65.98476
-166.88124,65.990906
-166.86664,65.99705
-166.85202,66.0032
-166.77888,66.0339
-166.76424,66.04004
-166.74959,66.04617
-166.73494,66.05231
-166.72028,66.05843
-166.70561,66.06457
-166.67627,66.07683
-166.66159,66.082954
-166.6469,66.08908
-166.6322,66.0952
-166.61751,66.101326
-166.60281,66.107445
-166.5881,66.11356
-166.57338,66.11968
-166.55867,66.1258
-166.54395,66.13191
-166.52922,66.13803
-166.51448,66.14414
-167.87566,65.55126
-167.8614,65.5575
-167.84717,65.56374
-167.8329,65.569984
-167.81865,65.576225
-167.80438,65.582466
-167.79012,65.5887
-167.77585,65.59493
-167.76157,65.601166
-167.74728,65.6074
-167.733,65.61363
-167.7187,65.619865
-167.7044,65.62609
-167.6901,65.63232
-167.6758,65.63854
-167.66147,65.64477
-167.64716,65.65099
-167.63283,65.65721
-167.6185,65.66343
-167.60417,65.66965
-167.58983,65.675865
-167.57549,65.68208
-167.56113,65.6883
-167.54677,65.69451
-167.53241,65.70072
-167.51805,65.70693
-167.50368,65.71314
-167.4893,65.71935
-167.47491,65.725555
-167.46053,65.73176
-167.44614,65.73797
-167.43173,65.74416
-167.41734,65.75037
-167.40292,65.75657
-167.38852,65.762764
-167.3741,65.76896
-167.35968,65.775154
-167.34525,65.78135
-167.33081,65.787544
-167.31638,65.79373
-167.30193,65.79992
-167.28748,65.80611
-167.27303,65.812294
-167.25856,65.81848
-167.2441,65.82467
-167.22963,65.83085
-167.21515,65.83703
-167.20067,65.84321
-167.18619,65.84939
-167.17169,65.85557
-166.93912,65.9542
-166.92453,65.96036
-166.90994,65.96651
-166.89536,65.97266
-166.88077,65.978806
-166.86617,65.984955
-166.85155,65.9911
-166.83694,65.997246
-166.82233,66.00339
-166.79308,66.01567
-166.77844,66.021805
-166.7638,66.02795
-166.74915,66.03408
-166.7345,66.040215
-166.71985,66.04635
-166.70518,66.05248
-166.69052,66.05861
-166.67586,66.064735
-166.66118,66.07087
-166.6465,66.076996
-166.6318,66.083115
-166.61711,66.08924
-166.60242,66.09536
-166.58772,66.10148
-166.57301,66.1076
-166.55829,66.113716
-166.54358,66.119835
-166.52885,66.125946
-166.51413,66.132065
-166.49939,66.138176
-166.48465,66.14429
-166.46991,66.15039
-166.45515,66.1565
-166.4404,66.162605
-166.42563,66.16871
-166.41087,66.17481
-167.86058,65.54536
-167.84634,65.5516
-167.83209,65.55784
-167.81784,65.56408
-167.80359,65.57032
-167.78932,65.57656
-167.77505,65.582794
-167.76077,65.58903
-167.7465,65.59526
-167.73221,65.601494
-167.71793,65.60773
-167.70363,65.61395
-167.68933,65.62018
-167.67503,65.6264
-167.66072,65.63263
-167.64641,65.638855
-167.63208,65.64508
-167.61775,65.6513
-167.60342,65.65752
-167.5891,65.663734
-167.57475,65.66995
-167.56041,65.67617
-167.54605,65.68238
-167.53171,65.68859
-167.51733,65.69481
-167.50298,65.70101
-167.4886,65.70722
-167.47423,65.71343
-167.45984,65.719635
-167.44545,65.72584
-167.43106,65.73204
-167.41667,65.73824
-167.40227,65.744446
-167.38785,65.75064
-167.37344,65.756836
-167.35902,65.76304
-167.3446,65.769226
-167.33017,65.77542
-167.31573,65.78162
-167.3013,65.7878
-167.28685,65.79399
-167.2724,65.80018
-167.25795,65.806366
-167.24348,65.81255
-167.22902,65.81873
-167.21455,65.82491
-167.20007,65.83109
-167.1856,65.83727
-167.17111,65.84345
-167.14212,65.855804
-167.09859,65.87432
-166.92403,65.94826
-166.90945,65.95441
-166.89487,65.960556
-166.88028,65.966705
-166.86568,65.972855
-166.82185,65.99129
-166.80724,65.99744
-166.79262,66.00357
-166.77798,66.00971
-166.76335,66.015854
-166.74872,66.02199
-166.73407,66.02812
-166.71942,66.034256
-166.70476,66.04039
-166.69011,66.046524
-166.67543,66.05265
-166.66077,66.05878
-166.64609,66.0649
-166.63141,66.07103
-166.61671,66.077156
-166.60204,66.083275
-166.58733,66.0894
-166.57263,66.09552
-166.55792,66.10164
-166.54321,66.10775
-166.52849,66.11387
-166.49904,66.12609
-166.4843,66.1322
-166.45482,66.144424
-166.44006,66.15053
-166.42531,66.15663
-166.41055,66.16274
-166.39578,66.16884
-166.38101,66.17494
-166.36623,66.181046
